,adm_level,date,perc,ls_temp_day,ls_temp_night,evi,humid,ns_temp,wind_speed,latitude,longitude
0,Abra,2012-01-01,1.0333669855344023,14984.804979253113,14616.278838174276,4151.471744980337,0.01276623841488,294.7745620265151,4.659325801964962,17.571436949427834,120.68811788855842
1,Abra,2012-02-01,58.08287124039436,15066.672199170125,14643.203319502076,4172.4972055475055,0.012790632970405348,295.1652462121212,4.439152110706676,17.571436949427834,120.68811788855842
2,Abra,2012-03-01,38.749088246036656,15176.48630705394,14693.641493775933,3990.2421858828397,0.012959563370906946,296.2366240530303,3.8804672703598486,17.571436949427834,120.68811788855842
3,Abra,2012-04-01,104.27751567894876,15145.847302904564,14703.742738589212,4524.42392879321,0.01447116696473324,297.70170454545456,2.4173042990944604,17.571436949427834,120.68811788855842
4,Abra,2012-05-01,303.98607544188917,15085.274688796682,11559.46887966805,4083.4543572759258,0.015655465198285652,298.01633522727275,2.415639472730232,17.571436949427834,120.68811788855842
5,Abra,2012-06-01,475.24072682061654,14425.581742738592,5995.659751037344,4180.815152142412,0.016763347567933982,297.0945785984849,4.977149732185133,17.571436949427834,120.68811788855842
6,Abra,2012-07-01,701.0156380908959,14976.48132780083,11988.413278008298,3662.6284413164976,0.01636226971944173,296.72484611742425,3.478784503358783,17.571436949427834,120.68811788855842
7,Abra,2012-08-01,985.1811913103148,7449.23153526971,3402.1170124481328,3183.575036224385,0.016541114359190968,296.1526396780303,6.3287441369258985,17.571436949427834,120.68811788855842
8,Abra,2012-09-01,452.60338485988814,14952.051452282158,14632.858091286309,4785.534257917616,0.01596683083158551,296.8112275094697,3.009687481504498,17.571436949427834,120.68811788855842
9,Abra,2012-10-01,82.20909766466217,14986.92614107884,14666.715352697098,4770.008279859242,0.014126710819475578,295.5392400568182,4.924676606149385,17.571436949427834,120.68811788855842
10,Abra,2012-11-01,14.362658441913398,15037.71286307054,14696.786721991699,4477.590560960463,0.01454608819701455,296.5794566761364,3.1348833026308003,17.571436949427834,120.68811788855842
11,Abra,2012-12-01,17.397504581590038,15016.385062240664,14658.509543568465,4064.4752639205135,0.013407282757036612,295.4456084280303,4.6746983383641085,17.571436949427834,120.68811788855842
12,Abra,2013-01-01,2.61563213158286,14978.506224066392,14557.251452282158,3921.3785965638585,0.011683025143363258,293.9230291193182,5.225401907256155,17.571436949427834,120.68811788855842
13,Abra,2013-02-01,11.474659843596092,15112.770124481329,14673.93858921162,3848.791968536535,0.012277173273491137,295.9876893939394,4.540266557173296,17.571436949427834,120.68811788855842
14,Abra,2013-03-01,19.812477367450338,15173.500414937758,14697.596680497925,3844.403229145104,0.01293774987712051,296.8243963068182,3.457056912508878,17.571436949427834,120.68811788855842
15,Abra,2013-04-01,99.82180145936029,15236.891286307056,14729.0622406639,4014.00786586628,0.014270480835076534,298.0792495265151,2.916818329782197,17.571436949427834,120.68811788855842
16,Abra,2013-05-01,465.7400777355175,15186.781742738589,14705.01244813278,4261.839370730699,0.015286458261085281,297.93596117424244,2.4308795350970644,17.571436949427834,120.68811788855842
17,Abra,2013-06-01,449.0977940368325,15069.181742738589,14707.321161825725,5006.948043883253,0.016088745810768818,298.08682528409093,2.5559345592151987,17.571436949427834,120.68811788855842
18,Abra,2013-07-01,633.6937981581485,15029.714522821578,14723.852282157675,4513.5797971434495,0.01568330056739576,297.0446259469697,2.4074355616714014,17.571436949427834,120.68811788855842
19,Abra,2013-08-01,842.0488783022332,14860.439834024895,6013.8622406639015,4379.782239701925,0.016099597468520657,296.7894176136364,4.851572672526042,17.571436949427834,120.68811788855842
20,Abra,2013-09-01,1038.8229404296444,14957.903734439837,13794.324481327803,4322.345270130408,0.015869274283900406,296.55326704545456,3.6634015170010654,17.571436949427834,120.68811788855842
21,Abra,2013-10-01,148.91310293876538,14909.717842323653,14612.529460580912,4691.858414406956,0.014250343496149237,295.4640743371212,4.819568056048769,17.571436949427834,120.68811788855842
22,Abra,2013-11-01,192.26512703017303,14945.000829875518,14657.442323651452,4571.92175533016,0.014695722045320454,295.7458866003788,5.436302416252367,17.571436949427834,120.68811788855842
23,Abra,2013-12-01,10.289580327994896,14937.407468879668,14584.172614107883,4338.95508176361,0.013499991460279984,294.27681107954544,4.833845658735796,17.571436949427834,120.68811788855842
24,Abra,2014-01-01,1.2222669048404151,14910.83153526971,14496.395020746888,4042.161043262265,0.010450706337437485,291.9296875,5.594340006510418,17.571436949427834,120.68811788855842
25,Abra,2014-02-01,0.28560918329678703,15026.954356846472,14560.164315352695,3904.218588283999,0.011425137519836426,293.8390447443182,3.588292208584872,17.571436949427834,120.68811788855842
26,Abra,2014-03-01,42.486259130761034,15159.764315352695,14659.85062240664,3834.483129786793,0.012029306455091995,296.0003847064394,3.749369765772964,17.571436949427834,120.68811788855842
27,Abra,2014-04-01,79.57190208280967,15224.959336099584,14714.461410788384,3881.0329124404884,0.0136499513279308,297.9801136363636,2.663099577932647,17.571436949427834,120.68811788855842
28,Abra,2014-05-01,263.70519296695113,15159.93858921162,14712.096265560163,4385.607948664871,0.014855749679334238,298.98313210227275,2.4058271465879497,17.571436949427834,120.68811788855842
29,Abra,2014-06-01,487.63880933163625,14465.965145228216,7491.321161825726,4127.306147795487,0.01626492991591945,297.92063210227275,3.895623409386837,17.571436949427834,120.68811788855842
30,Abra,2014-07-01,352.92645958446985,15063.601659751035,13800.897095435683,3873.978058373008,0.016454647887836803,297.2405303030303,3.427815755208333,17.571436949427834,120.68811788855842
