adm_level,date,count_ovi,mean_ovi,error_ovi,error_relative_ovi
Negros Occidental,2019-09-01,0.0,,,
Negros Occidental,2019-10-01,0.0,,,
Negros Occidental,2019-11-01,0.0,,,
Negros Occidental,2019-12-01,0.0,,,
Cebu,2012-01-01,0.0,,,
Cebu,2012-02-01,0.0,,,
Cebu,2012-03-01,0.0,,,
Cebu,2012-04-01,0.0,,,
Cebu,2012-05-01,0.0,,,
Cebu,2012-06-01,9.0,20.83666666666667,3.260165867173243,0.1564629275559067
Cebu,2012-07-01,21.0,55.494285714285716,5.887348462124531,0.10608927363144652
Cebu,2012-08-01,5.0,56.076,12.683110217923677,0.2261771563221998
Cebu,2012-09-01,3.0,42.370000000000005,11.9715477510452,0.2825477401709983
Cebu,2012-10-01,0.0,,,
Cebu,2012-11-01,0.0,,,
Cebu,2012-12-01,0.0,,,
Cebu,2013-01-01,1.0,50.0,0.0,0.0
Cebu,2013-02-01,0.0,,,
Cebu,2013-03-01,0.0,,,
Cebu,2013-04-01,0.0,,,
Cebu,2013-05-01,0.0,,,
Cebu,2013-06-01,8.0,34.41375,7.370819140684942,0.21418238758301383
Cebu,2013-07-01,205.0,32.92643902439025,2.0054853611090158,0.06090805506248195
Cebu,2013-08-01,85.0,40.91941176470587,3.945209214578389,0.09641412338144219
Cebu,2013-09-01,55.0,41.57563636363636,4.726298765147048,0.11367952913117282
Cebu,2013-10-01,24.0,34.51875,6.572402008707511,0.19040092728466446
Cebu,2013-11-01,28.0,43.20678571428572,7.258384789921524,0.1679917788358332
Cebu,2013-12-01,71.0,35.53830985915493,4.028759200268476,0.11336383796064622
Cebu,2014-01-01,138.0,33.65014492753624,2.6177417531158724,0.07779288198469983
Cebu,2014-02-01,160.0,34.612125000000006,2.3942279049497035,0.06917309772080457
Cebu,2014-03-01,97.0,31.49896907216494,3.0089636220020943,0.09552578102186399
Cebu,2014-04-01,9.0,31.08,5.8285648234565075,0.18753426072897386
Cebu,2014-05-01,0.0,,,
Cebu,2014-06-01,29.0,33.70275862068966,6.115220789341168,0.18144570473193014
Cebu,2014-07-01,92.0,36.312391304347834,3.151774901168582,0.08679612627965945
Cebu,2014-08-01,143.0,28.07755244755245,2.527831144875025,0.09003032403187189
Cebu,2014-09-01,161.0,29.02496894409937,2.4394952287272025,0.08404815982492686
Cebu,2014-10-01,187.0,23.188877005347596,2.1502056777522265,0.0927257355867801
Cebu,2014-11-01,98.0,27.738265306122447,3.2483266317296047,0.11710633653116828
Cebu,2014-12-01,36.0,28.658611111111114,5.598329214391792,0.19534544757548583
Cebu,2015-01-01,32.0,18.635312499999998,5.2371450689770604,0.2810333912552881
Cebu,2015-02-01,47.0,27.27659574468085,4.12740755182132,0.1513168135223105
Cebu,2015-03-01,25.0,20.4,4.792661056240051,0.23493436550196328
Cebu,2015-04-01,2.0,57.5,15.202795795510772,0.26439644861757866
Cebu,2015-05-01,3.0,60.666666666666664,6.079717342357542,0.10021512102787157
Cebu,2015-06-01,45.0,45.94466666666667,5.094849372977904,0.11089098567068872
Cebu,2015-07-01,93.0,40.91634408602151,3.0402742351287566,0.07430464043260951
Cebu,2015-08-01,70.0,39.736714285714285,3.7155800147181046,0.09350496339486956
Cebu,2015-09-01,73.0,35.6482191780822,3.06738464775964,0.08604594334534325
Cebu,2015-10-01,61.0,35.426721311475404,3.0859616138308845,0.08710830411594656
Cebu,2015-11-01,43.0,34.41790697674418,3.942840689787613,0.11455782864576133
Cebu,2015-12-01,32.0,43.2109375,4.851231769310288,0.1122686072087718
Cebu,2016-01-01,36.0,35.396666666666675,3.952617686302845,0.111666381569908
Cebu,2016-02-01,43.0,33.43883720930233,3.592295872926973,0.10742885138145995
Cebu,2016-03-01,25.0,33.905199999999994,4.873985313724286,0.14375332732808793
Cebu,2016-04-01,0.0,,,
Cebu,2016-05-01,0.0,,,
Cebu,2016-06-01,0.0,,,
Cebu,2016-07-01,1.0,25.0,0.0,0.0
Cebu,2016-08-01,0.0,,,
Cebu,2016-09-01,0.0,,,
Cebu,2016-10-01,0.0,,,
Cebu,2016-11-01,0.0,,,
Cebu,2016-12-01,0.0,,,
Cebu,2017-01-01,0.0,,,
Cebu,2017-02-01,0.0,,,
Cebu,2017-03-01,0.0,,,
Cebu,2017-04-01,0.0,,,
Cebu,2017-05-01,0.0,,,
Cebu,2017-06-01,0.0,,,
Cebu,2017-07-01,0.0,,,
Cebu,2017-08-01,0.0,,,
Cebu,2017-09-01,0.0,,,
Cebu,2017-10-01,0.0,,,
Cebu,2017-11-01,0.0,,,
Cebu,2017-12-01,0.0,,,
Cebu,2018-01-01,0.0,,,
Cebu,2018-02-01,0.0,,,
Cebu,2018-03-01,0.0,,,
Cebu,2018-04-01,0.0,,,
Cebu,2018-05-01,0.0,,,
Cebu,2018-06-01,0.0,,,
Cebu,2018-07-01,0.0,,,
Cebu,2018-08-01,0.0,,,
Cebu,2018-09-01,0.0,,,
Cebu,2018-10-01,0.0,,,
Cebu,2018-11-01,0.0,,,
Cebu,2018-12-01,0.0,,,
Cebu,2019-01-01,0.0,,,
Cebu,2019-02-01,0.0,,,
Cebu,2019-03-01,0.0,,,
Cebu,2019-04-01,0.0,,,
Cebu,2019-05-01,0.0,,,
Cebu,2019-06-01,0.0,,,
Cebu,2019-07-01,0.0,,,
Cebu,2019-08-01,0.0,,,
Cebu,2019-09-01,0.0,,,
Cebu,2019-10-01,0.0,,,
Cebu,2019-11-01,0.0,,,
Cebu,2019-12-01,0.0,,,
Isabela,2012-01-01,0.0,,,
Isabela,2012-02-01,0.0,,,
Isabela,2012-03-01,0.0,,,
Isabela,2012-04-01,0.0,,,
Isabela,2012-05-01,0.0,,,
Isabela,2012-06-01,10.0,60.107000000000006,11.1586230378125,0.18564598196237542
Isabela,2012-07-01,32.0,53.567812499999995,5.159919087270907,0.09632499156598764
Isabela,2012-08-01,7.0,57.58714285714286,12.923403499755501,0.22441473666812659
Isabela,2012-09-01,0.0,,,
Isabela,2012-10-01,0.0,,,
Isabela,2012-11-01,0.0,,,
Isabela,2012-12-01,0.0,,,
Isabela,2013-01-01,0.0,,,
Isabela,2013-02-01,0.0,,,
Isabela,2013-03-01,0.0,,,
Isabela,2013-04-01,0.0,,,
Isabela,2013-05-01,0.0,,,
Isabela,2013-06-01,0.0,,,
Isabela,2013-07-01,0.0,,,
Isabela,2013-08-01,0.0,,,
Isabela,2013-09-01,2.0,83.33500000000001,11.783934508473784,0.14140438601396513
Isabela,2013-10-01,3.0,69.85333333333334,5.128266619289436,0.07341477313355749
