adm_level,date,NASA_FLDAS_NOAH01_C_GL_M_V001_Tair_f_tavg,.DS_Store,MODIS_006_MYD13A1_EVI,JAXA_GPM_L3_GSMaP_v6_reanalysis_hourlyPrecipRate,JAXA_GPM_L3_GSMaP_v6_operational_hourlyPrecipRate,MODIS_006_MOD11A1_LST_Day_1km,NASA_FLDAS_NOAH01_C_GL_M_V001_Wind_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Qair_f_tavg,MODIS_006_MOD11A1_LST_Night_1km
Marinduque,2015-02-01,297.13525390625,,5080.0,,5.621075261384249,14941.25,7.487212181091309,0.01422204915434122,14686.75
Marinduque,2015-03-01,298.352783203125,,5196.5,,11.146229045465589,15027.25,7.057197570800781,0.014326680451631546,14737.25
Marinduque,2015-04-01,299.84521484375,,5192.0,,23.05100697092712,15072.5,5.785951614379883,0.015893639996647835,14786.75
Marinduque,2015-05-01,301.35565185546875,,5266.0,,0.3026314405724406,15119.0,3.5510308742523193,0.01641811802983284,14851.25
Marinduque,2015-06-01,300.91009521484375,,5249.0,,227.79787319991738,15004.0,3.204667568206787,0.017538543790578842,14801.0
Marinduque,2015-07-01,300.123779296875,,4629.5,,174.49420011788607,15045.0,5.306092262268066,0.017651597037911415,14794.5
Marinduque,2015-08-01,300.226806640625,,5652.5,,136.24975767638534,15038.5,4.445919036865234,0.017702646553516388,14793.25
Marinduque,2015-09-01,300.2491760253906,,5998.5,,164.25676707550883,15040.0,3.632535457611084,0.017639925703406334,14828.0
Marinduque,2015-10-01,300.1838073730469,,5646.5,,231.83300528861582,15024.0,5.581326961517334,0.017259210348129272,14802.0
Marinduque,2015-11-01,299.904296875,,5387.5,,4.522289819084108,14992.0,7.7114458084106445,0.01708163693547249,14785.0
Marinduque,2015-12-01,298.9656982421875,,5329.0,,281.0632000863552,14965.5,8.18160343170166,0.01685473322868347,14762.0
Marinduque,2016-01-01,298.3783264160156,,4726.5,,1.2738140895962715,14977.0,7.093889236450195,0.01595163159072399,14767.0
Marinduque,2016-02-01,297.8652648925781,,5528.5,,3.690510891377926,14924.0,7.988104343414307,0.015537037514150143,14719.0
Marinduque,2016-03-01,298.8702087402344,,5658.5,,0.0,15080.5,5.27492618560791,0.015944909304380417,14800.0
Marinduque,2016-04-01,300.6325378417969,,5064.0,,0.0,15130.0,5.063754081726074,0.016383208334445953,14834.75
Marinduque,2016-05-01,301.2882385253906,,5207.0,,154.2906165998429,15145.0,4.2290263175964355,0.017510026693344116,
Marinduque,2016-06-01,301.0243835449219,,5241.5,,165.54539647791535,15059.0,3.443171739578247,0.017823144793510437,14859.0
