,index,adm_level,date,perc,ls_temp_day,ls_temp_night,evi,humid,ns_temp,wind_speed,longitude,latitude
3574,3574,Ilocos Sur,2013-11-01,57.572337142945756,24.211576872536227,17.891708278580836,0.42680883301629313,0.015827222948982603,25.305659412202374,16.47280491420201,120.44348520714503,17.40897773358525
3575,3575,Ilocos Sur,2013-12-01,14.568136570043864,23.760223390275996,16.556491458607127,0.4091191464725829,0.014756736301240466,24.069866071428578,14.430802263532367,120.44348520714503,17.40897773358525
3576,3576,Ilocos Sur,2014-01-01,0.27505795489109697,23.434572930354875,14.850183968462602,0.41117872797948885,0.011343142815998622,21.820563616071468,18.14604753766741,120.44348520714503,17.40897773358525
3577,3577,Ilocos Sur,2014-02-01,2.801612094532521,24.984402102496745,14.992155059132756,0.38902032917045737,0.012613024030412949,23.13896949404767,11.668665422712053,120.44348520714503,17.40897773358525
3578,3578,Ilocos Sur,2014-03-01,21.72786721542833,27.848186596583446,17.45759526938241,0.3663455793565462,0.01340392373857044,25.164546130952374,11.609926496233257,120.44348520714503,17.40897773358525
3579,3579,Ilocos Sur,2014-04-01,32.283983916798164,29.79441524310124,18.830394218134018,0.3392483665536349,0.015441573801494782,26.490485491071468,9.519394356863842,120.44348520714503,17.40897773358525
3580,3580,Ilocos Sur,2014-05-01,201.24807010888168,29.124060446780618,19.212023653088067,0.3814258539409478,0.01648846978232974,27.530175781250023,9.061820329938616,120.44348520714503,17.40897773358525
3581,3581,Ilocos Sur,2014-06-01,517.1853081536967,25.624612352168185,-171.655308804205,0.3789617401372922,0.017690763587043398,26.452353050595264,16.157080078125002,120.44348520714503,17.40897773358525
3582,3582,Ilocos Sur,2014-07-01,426.8565618570539,24.892181340341722,-115.44910643889617,0.39300296087999337,0.01775338820048741,25.91463913690484,13.635448346819194,120.44348520714503,17.40897773358525
3583,3583,Ilocos Sur,2014-08-01,489.9167344708972,24.564296977660945,18.382667542706997,0.4942890414357787,0.017337770689101445,25.55203218005954,15.838248988560267,120.44348520714503,17.40897773358525
3584,3584,Ilocos Sur,2014-09-01,2552.6023442295073,23.530262812089404,18.58947437582134,0.47216170705483423,0.017474469684419174,26.000018601190504,16.418086460658483,120.44348520714503,17.40897773358525
3585,3585,Ilocos Sur,2014-10-01,147.2193919815389,24.822562417871268,17.932628120893582,0.45225910181126455,0.016145677793593632,25.892038690476227,14.016806030273438,120.44348520714503,17.40897773358525
3586,3586,Ilocos Sur,2014-11-01,16.829921193953073,25.485295663600596,17.872076215505956,0.4359954346207925,0.015022389945529756,25.547265625000023,13.74214128766741,120.44348520714503,17.40897773358525
3587,3587,Ilocos Sur,2014-12-01,16.38326400899816,24.16011826544019,16.724270696452095,0.4120527996030105,0.014219810565312702,24.590745907738153,20.74907488141741,120.44348520714503,17.40897773358525
3588,3588,Ilocos Sur,2015-01-01,64.43860588896843,24.197700394218145,15.647266754270731,0.3984940203457117,0.011889303014391945,22.56570405505954,18.790136718750002,120.44348520714503,17.40897773358525
3589,3589,Ilocos Sur,2015-02-01,0.6274263507996997,25.66437582128782,15.284218134034177,0.37803427342651563,0.01265219421613784,23.258737909226227,13.70869315011161,120.44348520714503,17.40897773358525
3590,3590,Ilocos Sur,2015-03-01,23.27611843953353,27.834730617608443,17.550420499343033,0.3691919278802415,0.013293941815694174,25.01982886904767,9.800681631905693,120.44348520714503,17.40897773358525
3591,3591,Ilocos Sur,2015-04-01,21.487058004541765,29.09204993429705,18.984717477003926,0.37535376726490777,0.014914045731226603,26.387574404761892,10.97449689592634,120.44348520714503,17.40897773358525
3592,3592,Ilocos Sur,2015-05-01,125.52326625399292,30.828370565046043,19.760328515111723,0.36036255065751377,0.0160912899743943,27.148084077380986,10.986267961774555,120.44348520714503,17.40897773358525
3593,3593,Ilocos Sur,2015-06-01,258.16312003783173,28.359145860709646,18.950289093298352,0.4051243073360351,0.01730159634635562,27.324748883928578,10.105138288225447,120.44348520714503,17.40897773358525
3594,3594,Ilocos Sur,2015-07-01,1178.335119376846,24.36645203679376,-99.6336136662286,0.27529104292448936,0.017588570004417783,25.433821614583337,22.046609933035715,120.44348520714503,17.40897773358525
3595,3595,Ilocos Sur,2015-08-01,826.0898403610945,25.622010512483655,8.716333771353561,0.4749213795384997,0.01765508453051249,25.87578590029767,17.25748639787946,120.44348520714503,17.40897773358525
3596,3596,Ilocos Sur,2015-09-01,304.46725166385016,24.866846254927793,18.080906701708273,0.491076900173683,0.01753002405166626,26.044312686011892,9.810018048967635,120.44348520714503,17.40897773358525
3597,3597,Ilocos Sur,2015-10-01,587.9015516931014,24.687319316688615,18.157253613666228,0.4771848482342238,0.016872232868557886,25.773921130952374,18.649367850167412,120.44348520714503,17.40897773358525
3598,3598,Ilocos Sur,2015-11-01,4.1388259236035605,25.545768725361427,18.567608409986917,0.4333199569928046,0.01533369223276774,25.921382068452374,12.8958251953125,120.44348520714503,17.40897773358525
3599,3599,Ilocos Sur,2015-12-01,305.93209456998324,24.584402102496767,17.84090670170832,0.4173977338516252,0.015110515412830169,24.912732514880986,15.815345110212053,120.44348520714503,17.40897773358525
3600,3600,Ilocos Sur,2016-01-01,16.437418294272252,24.01867279894884,16.944796320630758,0.4232442312463816,0.013968125695273987,24.032152157738153,13.415661621093749,120.44348520714503,17.40897773358525
3601,3601,Ilocos Sur,2016-02-01,3.8243412033965187,24.738147174770063,16.51105124835749,0.38940143908692415,0.013281477349145072,23.778803943452374,14.273910958426338,120.44348520714503,17.40897773358525
3602,3602,Ilocos Sur,2016-03-01,0.2733500466371576,27.45331143232596,17.92455978975039,0.3752349350756762,0.014380876507077896,24.97732514880954,11.84384765625,120.44348520714503,17.40897773358525
3603,3603,Ilocos Sur,2016-04-01,13.30991773666548,29.882667542706997,19.614362680683314,0.38429218426929124,0.015412608782450356,27.173753720238153,9.989318193708149,120.44348520714503,17.40897773358525
3604,3604,Ilocos Sur,2016-05-01,254.18984378479598,29.7792247043364,20.047871222076196,0.37397449342486155,0.016996399277732485,27.49422898065484,9.58854740687779,120.44348520714503,17.40897773358525
3605,3605,Ilocos Sur,2016-06-01,454.1826026692455,24.807030223390313,18.7752299605782,0.4302083533206517,0.017773574306851343,26.769921875000023,10.568665858677456,120.44348520714503,17.40897773358525
3606,3606,Ilocos Sur,2016-07-01,445.093133127716,25.2297371879107,10.733469119579581,0.4870771317508891,0.017549889428274974,26.58574683779767,10.571918596540177,120.44348520714503,17.40897773358525
