adm,date,value
Bataan,2014-06-01,13.240555555555554
Bataan,2014-07-01,39.186
Bataan,2014-08-01,36.57678571428571
Bataan,2014-09-01,35.04973684210527
Bataan,2014-10-01,23.579729729729728
Bataan,2014-11-01,23.84264705882353
Bataan,2014-12-01,25.57888888888889
Bataan,2015-01-01,36.0
Bataan,2015-02-01,39.266666666666666
Bataan,2015-03-01,31.213846153846152
Bataan,2015-04-01,18.0
Bataan,2015-05-01,18.0
Bataan,2015-06-01,37.098
Bataan,2015-07-01,41.65487179487179
Bataan,2015-08-01,43.64891891891891
Bataan,2015-09-01,34.20249999999999
Bataan,2015-10-01,32.28617647058824
Bataan,2015-11-01,30.36129032258065
Bataan,2015-12-01,26.66291666666667
Bataan,2016-01-01,30.27307692307692
Bataan,2016-02-01,27.857187499999995
Bataan,2016-03-01,24.013529411764704
Bataan,2016-04-01,15.0
Bataan,2016-05-01,16.5
Batangas,2013-09-01,5.056666666666667
Batangas,2013-10-01,27.017358490566043
Batangas,2013-11-01,32.849661016949156
Batangas,2013-12-01,22.78244444444444
Batangas,2014-01-01,27.765671641791045
Batangas,2014-02-01,27.092127659574462
Batangas,2014-03-01,22.22913043478261
Batangas,2014-04-01,21.02
Batangas,2014-05-01,5.264285714285713
Batangas,2014-06-01,19.888333333333335
Batangas,2014-07-01,16.151875
Batangas,2014-08-01,17.126981132075468
Batangas,2014-09-01,20.255338983050848
Batangas,2014-10-01,16.168725490196078
Batangas,2014-11-01,21.18328358208955
Batangas,2014-12-01,22.856666666666666
Batangas,2015-01-01,19.650714285714287
Batangas,2015-02-01,29.7
Batangas,2015-03-01,23.125
Batangas,2015-06-01,25.381
Batangas,2015-07-01,29.573700000000002
Batangas,2015-08-01,33.70247311827957
Batangas,2015-09-01,30.297238095238097
Batangas,2015-10-01,32.3328735632184
Batangas,2015-11-01,30.988732394366203
Batangas,2015-12-01,22.86287878787878
Batangas,2016-01-01,28.132432432432427
Batangas,2016-02-01,27.24345238095238
Batangas,2016-03-01,28.01849999999998
Batangas,2016-04-01,4.7
Batangas,2016-06-01,28.3
Batangas,2016-07-01,55.754999999999995
Batangas,2016-08-01,61.37833333333333
Batangas,2016-09-01,62.18
Batangas,2016-10-01,56.595
Batangas,2016-11-01,51.6
Benguet,2014-03-01,14.575999999999999
Benguet,2014-04-01,78.858
Benguet,2014-05-01,100.0
Benguet,2014-06-01,38.19500000000001
Benguet,2014-07-01,57.40833333333334
Benguet,2014-08-01,34.53428571428571
Benguet,2014-09-01,39.73222222222222
Benguet,2014-10-01,28.97666666666667
Benguet,2014-11-01,21.622
Benguet,2015-01-01,25.666666666666668
Benguet,2015-02-01,22.0
Benguet,2015-03-01,16.333333333333332
Benguet,2015-04-01,15.75
Benguet,2015-05-01,33.0
Benguet,2015-06-01,9.72
Benguet,2015-07-01,21.874
Benguet,2015-08-01,16.574444444444442
Benguet,2015-09-01,19.44375
Benguet,2015-10-01,38.765
Benguet,2015-11-01,5.555
Benguet,2016-01-01,14.814444444444442
Benguet,2016-02-01,8.024444444444445
Benguet,2016-03-01,9.26
Benguet,2016-04-01,17.593333333333334
Benguet,2016-07-01,18.025
Bohol,2013-07-01,37.5
Bohol,2013-08-01,29.363333333333333
Bohol,2013-09-01,35.595
Bohol,2013-10-01,20.0
Bohol,2013-11-01,18.75
Bohol,2013-12-01,23.75
Bohol,2014-01-01,37.57333333333334
Bohol,2014-02-01,65.9825
Bohol,2014-03-01,78.64625000000001
Bohol,2014-04-01,75.0
Bohol,2014-06-01,51.586666666666666
Bohol,2014-07-01,47.111875
Bohol,2014-08-01,51.00307692307691
Bohol,2014-09-01,55.46142857142857
Bohol,2014-10-01,52.65809523809524
Bohol,2014-11-01,47.18079999999999
Bohol,2014-12-01,44.79588235294118
Bohol,2015-01-01,43.25
Bohol,2015-02-01,36.705882352941174
Bohol,2015-03-01,30.818181818181817
Bohol,2015-06-01,35.1175
Bohol,2015-07-01,65.05416666666666
Bohol,2015-08-01,73.8075
Bohol,2015-09-01,80.7548
Bohol,2015-10-01,70.918
Bohol,2015-11-01,69.05555555555556
Bohol,2015-12-01,57.306363636363635
Bohol,2016-01-01,67.84
Bohol,2016-02-01,74.02631578947367
Bohol,2016-03-01,71.47625
Bohol,2016-07-01,77.78
Bukidnon,2014-08-01,37.370000000000005
Bukidnon,2014-09-01,33.836666666666666
Bukidnon,2014-10-01,56.44
Bukidnon,2014-11-01,100.0
Bukidnon,2014-12-01,100.0
Bukidnon,2015-03-01,46.0
Bukidnon,2015-07-01,53.34277777777779
Bukidnon,2015-08-01,54.841499999999996
Bukidnon,2015-09-01,52.56916666666667
Bukidnon,2015-10-01,46.42789473684211
Bukidnon,2015-11-01,51.998000000000005
Bukidnon,2015-12-01,47.724375
Bukidnon,2016-01-01,42.30823529411765
Bukidnon,2016-02-01,38.253
Bukidnon,2016-03-01,28.57565217391304
Bukidnon,2016-06-01,34.358
Bukidnon,2016-07-01,60.04875
Bukidnon,2016-08-01,58.674
Bukidnon,2016-09-01,62.07
Bukidnon,2016-10-01,36.519999999999996
Bukidnon,2016-11-01,46.66583333333333
Bukidnon,2016-12-01,52.242
Bukidnon,2017-01-01,37.223333333333336
Bukidnon,2017-02-01,36.457499999999996
Bukidnon,2017-03-01,32.83200000000001
Bulacan,2012-06-01,15.665
Bulacan,2012-07-01,16.37
Bulacan,2012-09-01,47.0
Bulacan,2012-10-01,35.0
Bulacan,2012-11-01,14.0
Bulacan,2012-12-01,32.285
Bulacan,2013-01-01,0.0
Bulacan,2013-02-01,14.75
Bulacan,2013-03-01,19.333333333333332
Bulacan,2013-06-01,19.38
Bulacan,2013-07-01,21.746
Bulacan,2013-08-01,14.003
Bulacan,2013-09-01,23.115
Bulacan,2013-10-01,23.630000000000003
Bulacan,2013-11-01,22.091874999999998
Bulacan,2013-12-01,12.6103125
Bulacan,2014-01-01,4.409705882352942
Bulacan,2014-02-01,9.065999999999999
Bulacan,2014-03-01,2.8523333333333336
Bulacan,2014-04-01,1.666
Bulacan,2014-05-01,6.944
Bulacan,2014-06-01,8.924166666666663
Bulacan,2014-07-01,27.06840425531914
Bulacan,2014-08-01,30.023269230769237
Bulacan,2014-09-01,31.711206896551715
Bulacan,2014-10-01,21.376923076923084
Bulacan,2014-11-01,18.21808823529412
Bulacan,2014-12-01,11.003181818181817
Bulacan,2015-01-01,17.68653846153846
Bulacan,2015-02-01,17.375
Bulacan,2015-03-01,24.047619047619047
Bulacan,2015-04-01,30.25
Bulacan,2015-05-01,37.0
Bulacan,2015-06-01,20.200000000000003
Bulacan,2015-07-01,34.082142857142856
Bulacan,2015-08-01,34.67896907216495
Bulacan,2015-09-01,41.718118811881176
Bulacan,2015-10-01,34.95208791208793
Bulacan,2015-11-01,23.49566666666666
Bulacan,2015-12-01,19.923559322033896
Bulacan,2016-01-01,18.535806451612903
Bulacan,2016-02-01,23.804210526315796
Bulacan,2016-03-01,27.69942857142858
Bulacan,2016-04-01,0.0
Camarines Norte,2013-10-01,37.14
Camarines Norte,2013-11-01,22.73
Camarines Norte,2013-12-01,50.0
Camarines Norte,2014-01-01,55.050000000000004
Camarines Norte,2014-02-01,54.167500000000004
Camarines Norte,2014-03-01,50.60600000000001
Camarines Norte,2014-06-01,42.86
Camarines Norte,2014-07-01,41.452
Camarines Norte,2014-08-01,52.75727272727272
Camarines Norte,2014-09-01,59.26181818181818
Camarines Norte,2014-10-01,55.6311111111111
Camarines Norte,2014-11-01,52.485
Camarines Norte,2014-12-01,57.153636363636366
Camarines Norte,2015-01-01,51.03416666666667
Camarines Norte,2015-02-01,48.988749999999996
Camarines Norte,2015-03-01,57.333333333333336
Camarines Norte,2015-04-01,18.316
Camarines Norte,2015-05-01,28.736666666666668
Camarines Norte,2015-07-01,42.86
Camarines Norte,2015-08-01,46.200909090909086
Camarines Norte,2015-09-01,62.38437500000001
Camarines Norte,2015-10-01,71.92800000000001
Camarines Norte,2015-11-01,65.70666666666666
Camarines Norte,2015-12-01,57.52142857142858
Camarines Norte,2016-01-01,69.22307692307693
Camarines Norte,2016-02-01,59.34090909090909
Camarines Norte,2016-03-01,50.55285714285714
Camarines Norte,2016-06-01,55.495000000000005
Camarines Norte,2016-07-01,60.417500000000004
Camarines Norte,2016-08-01,68.3
Camarines Norte,2016-09-01,62.325
Camarines Norte,2016-10-01,59.15
Camarines Norte,2016-11-01,59.667500000000004
Camarines Norte,2016-12-01,60.70666666666667
Camarines Norte,2017-01-01,54.582499999999996
Camarines Norte,2017-02-01,52.542500000000004
Camarines Norte,2017-03-01,52.5
Camarines Norte,2017-04-01,47.36
Camarines Norte,2017-06-01,36.50666666666667
Camarines Norte,2017-07-01,50.06666666666666
Camarines Norte,2017-08-01,41.733000000000004
Camarines Norte,2017-09-01,43.24444444444444
Camarines Norte,2017-10-01,43.781666666666666
Camarines Norte,2017-11-01,52.96666666666667
Camarines Norte,2017-12-01,51.06
Camarines Norte,2018-01-01,84.1275
Camarines Norte,2018-02-01,83.20333333333333
Camarines Norte,2018-06-01,53.23
Camarines Norte,2018-07-01,38.684444444444445
Camarines Norte,2018-08-01,33.49777777777778
Camarines Norte,2018-09-01,48.678999999999995
Camarines Norte,2018-10-01,15.185
Camarines Sur,2013-01-01,5.29
Camarines Sur,2013-06-01,40.0
Camarines Sur,2013-09-01,51.85
Camarines Sur,2013-10-01,54.355
Camarines Sur,2013-11-01,11.136999999999999
Camarines Sur,2013-12-01,17.355
Camarines Sur,2014-01-01,18.345294117647057
Camarines Sur,2014-02-01,12.815000000000001
Camarines Sur,2014-03-01,13.191666666666668
Camarines Sur,2014-06-01,15.02
Camarines Sur,2014-07-01,17.457857142857144
Camarines Sur,2014-08-01,28.16344827586207
Camarines Sur,2014-09-01,25.213124999999994
Camarines Sur,2014-10-01,21.10225806451613
Camarines Sur,2014-11-01,23.66586206896552
Camarines Sur,2014-12-01,21.617499999999996
Camarines Sur,2015-01-01,23.453333333333333
Camarines Sur,2015-02-01,21.008999999999997
Camarines Sur,2015-03-01,14.866666666666667
Camarines Sur,2015-04-01,15.484
Camarines Sur,2015-05-01,16.94
Camarines Sur,2015-07-01,55.513999999999996
Camarines Sur,2015-08-01,33.93615384615384
Camarines Sur,2015-09-01,35.766666666666666
Camarines Sur,2015-10-01,25.62071428571429
Camarines Sur,2015-11-01,27.960714285714285
Camarines Sur,2015-12-01,26.970000000000002
Camarines Sur,2016-01-01,31.59461538461539
Camarines Sur,2016-02-01,25.26315789473685
Camarines Sur,2016-03-01,28.745
Camarines Sur,2016-07-01,43.75
Camarines Sur,2016-08-01,55.11
Camarines Sur,2016-09-01,68.91
Camarines Sur,2016-10-01,60.754999999999995
Camarines Sur,2016-11-01,16.863333333333333
Camarines Sur,2016-12-01,20.256666666666664
Camarines Sur,2017-01-01,12.802000000000001
Camarines Sur,2017-02-01,12.24111111111111
Camarines Sur,2017-03-01,11.068000000000001
Camarines Sur,2017-07-01,4.05
Camarines Sur,2017-08-01,22.337142857142858
Camarines Sur,2017-09-01,12.148
Camarines Sur,2017-10-01,1.8266666666666669
Camarines Sur,2017-11-01,0.0
Camarines Sur,2018-01-01,27.393749999999997
Camarines Sur,2018-02-01,12.663333333333332
Camarines Sur,2018-03-01,3.17
Camarines Sur,2018-06-01,40.0
Camarines Sur,2018-07-01,12.5
Camarines Sur,2018-08-01,31.421875
Camarines Sur,2018-09-01,25.491999999999997
Camarines Sur,2018-10-01,32.08
Catanduanes,2013-10-01,4.35
Catanduanes,2013-12-01,7.69
Catanduanes,2014-01-01,16.573333333333334
Catanduanes,2014-02-01,18.54
Catanduanes,2014-03-01,21.15
Catanduanes,2014-06-01,24.44
Catanduanes,2014-07-01,37.25
Catanduanes,2014-08-01,62.2475
Catanduanes,2014-09-01,62.28833333333333
Catanduanes,2014-10-01,77.194
Catanduanes,2014-11-01,51.028125
Catanduanes,2014-12-01,55.534000000000006
Catanduanes,2015-01-01,37.78181818181818
Catanduanes,2015-02-01,42.13333333333333
Catanduanes,2015-03-01,45.111111111111114
Catanduanes,2015-04-01,16.954
Catanduanes,2015-05-01,16.580000000000002
Catanduanes,2015-06-01,41.107499999999995
Catanduanes,2015-07-01,52.099999999999994
Catanduanes,2015-08-01,34.795384615384606
Catanduanes,2015-09-01,31.961875
Catanduanes,2015-10-01,39.312
Catanduanes,2015-11-01,47.316874999999996
Catanduanes,2015-12-01,51.61571428571428
Catanduanes,2016-01-01,44.06333333333333
Catanduanes,2016-02-01,33.51499999999999
Catanduanes,2016-03-01,44.96083333333334
Catanduanes,2016-06-01,35.276666666666664
Catanduanes,2016-07-01,58.198750000000004
Catanduanes,2016-08-01,70.79583333333333
Catanduanes,2016-09-01,51.568749999999994
Catanduanes,2016-10-01,51.755
Catanduanes,2016-11-01,73.31125
Catanduanes,2016-12-01,59.60166666666667
Catanduanes,2017-01-01,37.651428571428575
Catanduanes,2017-02-01,47.68333333333334
Catanduanes,2017-03-01,53.396249999999995
Catanduanes,2017-04-01,70.875
Catanduanes,2017-06-01,16.566
Catanduanes,2017-07-01,28.219230769230766
Catanduanes,2017-08-01,34.8775
Catanduanes,2017-09-01,43.681666666666665
Catanduanes,2017-10-01,56.978750000000005
Catanduanes,2017-11-01,81.39999999999999
Catanduanes,2017-12-01,77.78
Catanduanes,2018-01-01,38.26166666666666
Catanduanes,2018-02-01,28.238
Catanduanes,2018-07-01,26.406
Catanduanes,2018-08-01,39.096666666666664
Catanduanes,2018-09-01,33.945
Catanduanes,2018-10-01,22.45
Cavite,2012-11-01,40.11689655172414
Cavite,2012-12-01,42.536
Cavite,2013-01-01,13.64
Cavite,2013-10-01,31.99888888888889
Cavite,2013-11-01,38.62000000000002
Cavite,2013-12-01,34.053448275862074
Cavite,2014-01-01,33.586904761904755
Cavite,2014-02-01,27.866739130434784
Cavite,2014-03-01,21.450000000000006
Cavite,2014-04-01,12.725999999999999
Cavite,2014-05-01,13.635
Cavite,2014-06-01,22.792857142857144
Cavite,2014-07-01,30.182
Cavite,2014-08-01,29.482972972972963
Cavite,2014-09-01,26.630158730158733
Cavite,2014-10-01,20.67647058823529
Cavite,2014-11-01,16.750238095238096
Cavite,2014-12-01,15.081666666666665
Cavite,2015-01-01,13.816249999999998
Cavite,2015-02-01,15.62962962962963
Cavite,2015-03-01,7.678
Cavite,2015-06-01,20.169
Cavite,2015-07-01,21.590444444444437
Cavite,2015-08-01,20.978679245283022
Cavite,2015-09-01,23.063508771929822
Cavite,2015-10-01,17.11105263157895
Cavite,2015-11-01,14.160000000000002
Cavite,2015-12-01,15.612068965517244
Cavite,2016-01-01,13.909374999999999
Cavite,2016-02-01,19.49511111111111
Cavite,2016-03-01,12.133170731707319
Cavite,2016-06-01,1.61
Cavite,2016-07-01,2.015
Cebu,2013-06-01,0.0
Cebu,2013-07-01,12.423
Cebu,2013-08-01,16.574
Cebu,2013-09-01,14.568000000000001
Cebu,2013-10-01,10.916666666666666
Cebu,2013-11-01,9.102
Cebu,2013-12-01,21.14388888888889
Cebu,2014-01-01,28.06241379310345
Cebu,2014-02-01,29.184999999999995
Cebu,2014-03-01,22.4548275862069
Cebu,2014-04-01,15.0
Cebu,2014-06-01,4.837999999999999
Cebu,2014-07-01,20.918400000000002
Cebu,2014-08-01,19.54878787878788
Cebu,2014-09-01,28.875294117647062
Cebu,2014-10-01,23.282333333333334
Cebu,2014-11-01,35.12333333333333
Cebu,2014-12-01,22.724285714285713
Cebu,2015-01-01,35.416
Cebu,2015-02-01,26.916666666666668
Cebu,2015-03-01,32.333333333333336
Cebu,2015-04-01,57.5
Cebu,2015-05-01,60.666666666666664
Cebu,2015-06-01,39.04529411764706
Cebu,2015-07-01,39.000555555555565
Cebu,2015-08-01,34.8808
Cebu,2015-09-01,29.89909090909091
Cebu,2015-10-01,33.29758620689655
Cebu,2015-11-01,36.00052631578948
Cebu,2015-12-01,36.310526315789474
Cebu,2016-01-01,39.15470588235294
Cebu,2016-02-01,37.35045454545454
Cebu,2016-03-01,37.935
Compostela Valley,2013-02-01,90.91
Compostela Valley,2013-03-01,55.56
Compostela Valley,2013-11-01,37.33869565217391
Compostela Valley,2013-12-01,40.18633333333333
Compostela Valley,2014-01-01,48.79633333333334
Compostela Valley,2014-02-01,51.09055555555555
Compostela Valley,2014-03-01,50.8658620689655
Compostela Valley,2014-06-01,29.32333333333333
Compostela Valley,2014-07-01,36.71150000000001
Compostela Valley,2014-08-01,45.96714285714286
Compostela Valley,2014-09-01,46.58206896551724
Compostela Valley,2014-10-01,42.865
Compostela Valley,2014-11-01,51.66724137931035
Compostela Valley,2014-12-01,40.199999999999996
Compostela Valley,2015-01-01,49.34043478260869
Compostela Valley,2015-02-01,50.6551724137931
Compostela Valley,2015-03-01,45.111111111111114
Compostela Valley,2015-04-01,0.0
Compostela Valley,2015-06-01,39.250555555555565
Compostela Valley,2015-07-01,61.005263157894746
Compostela Valley,2015-08-01,57.91450000000001
Compostela Valley,2015-09-01,62.15536585365854
Compostela Valley,2015-10-01,54.64172413793105
Compostela Valley,2015-11-01,51.72444444444445
