,adm_level,date,ns_temp,evi,perc,ls_temp_day,wind_speed,humid,ls_temp_night,longitude,latitude
0,Abra,2012-01-01,21.792321777343773,0.42010000000000003,0.6776905311271548,26.515000000000043,16.284287452697754,0.01294432394206524,19.590000000000032,120.68811788855835,17.571436949427916
1,Abra,2012-02-01,22.209100341796898,0.42265,56.8564287647605,28.130000000000052,15.63101119995117,0.01292489655315876,19.870000000000005,120.68811788855835,17.571436949427916
2,Abra,2012-03-01,23.407067871093773,0.40282500000000004,39.56772167701274,30.29000000000002,14.017043209075926,0.013058023527264595,21.04000000000002,120.68811788855835,17.571436949427916
3,Abra,2012-04-01,25.017266845703148,0.46790000000000004,90.90416053775698,,8.631462764739991,0.014663111418485641,21.05000000000001,120.68811788855835,17.571436949427916
4,Abra,2012-05-01,25.413476562500023,0.4525,300.3776286765933,28.495000000000005,8.408912372589112,0.015840061008930206,18.745000000000005,120.68811788855835,17.571436949427916
5,Abra,2012-06-01,24.466760253906273,0.43612500000000004,466.2194927763193,27.755000000000052,17.858909797668456,0.017010485753417015,,120.68811788855835,17.571436949427916
6,Abra,2012-07-01,24.087365722656273,0.37255,680.3066817857325,27.230000000000018,12.310153198242189,0.016628274694085118,19.03000000000003,120.68811788855835,17.571436949427916
7,Abra,2012-08-01,23.553277587890648,,961.9077284224334,,22.45584182739258,0.01678832247853279,,120.68811788855835,17.571436949427916
8,Abra,2012-09-01,24.141107177734398,0.50905,355.00868927966803,26.380000000000052,10.716490173339844,0.01621381752192974,21.32000000000005,120.68811788855835,17.571436949427916
9,Abra,2012-10-01,22.655084228515648,0.48425,80.15650428272784,26.600000000000023,17.35277309417725,0.014368478208780287,20.53000000000003,120.68811788855835,17.571436949427916
10,Abra,2012-11-01,23.752435302734398,0.45405,13.534504516981542,,11.3107741355896,0.014827170409262182,21.150000000000034,120.68811788855835,17.571436949427916
11,Abra,2012-12-01,22.481347656250023,0.40935000000000005,16.9545578379184,27.090000000000032,16.593192100524902,0.01359661016613245,20.33000000000004,120.68811788855835,17.571436949427916
12,Abra,2013-01-01,20.938470458984398,0.393075,2.504370668902993,26.53000000000003,18.391477203369142,0.011805936694145204,18.200000000000045,120.68811788855835,17.571436949427916
13,Abra,2013-02-01,23.113427734375023,0.37885,6.566468980163336,29.275000000000034,16.26581325531006,0.012357288040220736,20.690000000000055,120.68811788855835,17.571436949427916
14,Abra,2013-03-01,24.052484130859398,0.37705,17.688886320218447,30.140000000000043,12.357865619659425,0.013097044080495834,20.890000000000043,120.68811788855835,17.571436949427916
15,Abra,2013-04-01,25.385919189453148,0.3957,46.764271189458675,31.410000000000025,10.363350963592529,0.014422494918107988,21.55000000000001,120.68811788855835,17.571436949427916
16,Abra,2013-05-01,25.265557861328148,0.433425,480.484821388498,30.53000000000003,8.837491607666015,0.015522190369665624,21.190000000000055,120.68811788855835,17.571436949427916
17,Abra,2013-06-01,25.457543945312523,0.5200250000000001,364.5747112818063,28.090000000000032,8.992270088195802,0.016320466995239258,21.140000000000043,120.68811788855835,17.571436949427916
18,Abra,2013-07-01,24.379479980468773,0.47175,545.7226697318256,27.49000000000001,8.760042285919189,0.015900235623121258,22.430000000000007,120.68811788855835,17.571436949427916
19,Abra,2013-08-01,24.134057617187523,0.44920000000000004,768.064263017848,27.310000000000002,17.37429599761963,0.01638596691191196,,120.68811788855835,17.571436949427916
20,Abra,2013-09-01,23.890557861328148,0.44980000000000003,1008.7629234883934,,13.291739559173584,0.0161054078489542,,120.68811788855835,17.571436949427916
21,Abra,2013-10-01,22.667596435546898,0.49257500000000004,133.03948017861694,25.560000000000002,17.255810165405276,0.014484495855867863,19.28000000000003,120.68811788855835,17.571436949427916
22,Abra,2013-11-01,22.850061035156273,0.4736,96.7382575487718,25.78000000000003,19.360136604309083,0.014975549653172491,20.58000000000004,120.68811788855835,17.571436949427916
23,Abra,2013-12-01,21.412561035156273,0.445925,9.81596887204796,25.61500000000001,17.00054969787598,0.013650122098624706,18.78000000000003,120.68811788855835,17.571436949427916
24,Abra,2014-01-01,18.979302978515648,0.405125,0.6028530560433865,25.130000000000052,20.055615806579592,0.010599344037473202,,120.68811788855835,17.571436949427916
25,Abra,2014-02-01,20.915002441406273,0.3919,0.16505271196365354,,12.797311878204345,0.011562708765268326,,120.68811788855835,17.571436949427916
26,Abra,2014-03-01,23.119866943359398,0.38065000000000004,31.050182822160426,29.900000000000034,13.178188991546632,0.01219170168042183,,120.68811788855835,17.571436949427916
27,Abra,2014-04-01,25.347680664062523,0.39430000000000004,68.9412643481046,30.890000000000043,9.472801780700683,0.013768447563052177,21.410000000000025,120.68811788855835,17.571436949427916
28,Abra,2014-05-01,26.397882080078148,0.449375,254.06587855052203,29.370000000000005,8.649565315246582,0.014969265088438988,21.190000000000055,120.68811788855835,17.571436949427916
29,Abra,2014-06-01,25.312585449218773,0.4384,466.54368547257036,27.380000000000052,13.922508430480958,0.016524260863661766,,120.68811788855835,17.571436949427916
30,Abra,2014-07-01,24.607965087890648,0.39065,349.9795922748744,28.190000000000055,12.143460559844971,0.016756314784288406,20.83000000000004,120.68811788855835,17.571436949427916
31,Abra,2014-08-01,24.122766113281273,0.49925,443.2667394494638,27.210000000000036,15.166720390319824,0.01620863564312458,21.250000000000057,120.68811788855835,17.571436949427916
32,Abra,2014-09-01,24.468041992187523,0.479175,2046.6712305452677,26.890000000000043,15.340307807922366,0.016335194930434227,21.27000000000004,120.68811788855835,17.571436949427916
