adm_level,date,ls_temp_day,ls_temp_night,evi,humid,new_perc,soil_moist,soil_temp,ns_temp,wind_speed
Abra,2012-06-01,27.721080000000000,19.647160000000000,0.4180815,0.016763346000000000,0.619450668,0.42550775,23.16796000000010,23.944570000000100,17.917740000000000
Abra,2012-07-01,27.25216000000010,19.502080000000000,0.36626284000000000,0.01636227,0.668149632,0.4288224,22.697080000000000,23.574880000000000,12.52362456
Abra,2012-08-01,25.19064000000000,16.570920000000100,0.3183575,0.016541112,0.8836825680000000,0.43218037,22.515700000000000,23.002650000000000,22.783479840000000
Abra,2012-09-01,26.450410000000000,20.787840000000000,0.4785534000000000,0.01596683,0.3575181096,0.4197185000000000,23.111440000000000,23.661220000000000,10.834874640000000
Abra,2012-10-01,26.58856000000000,20.184320000000000,0.47700083000000000,0.014126711,0.1417914828,0.39068675,22.217370000000000,22.389250000000000,17.7288372
Abra,2012-11-01,27.60426000000000,20.785740000000000,0.44775903,0.014546088,0.11227787280000000,0.36491406,22.865350000000000,23.429470000000000,11.285579520000000
Abra,2012-12-01,27.177700000000000,20.020200000000000,0.40644753,0.0134072825,0.11915105760000000,0.33906722,22.169580000000000,22.295620000000000,16.8289128
Abra,2013-01-01,26.42010000000000,17.99502000000000,0.3921379,0.011683025,0.030007476,0.2889596000000000,21.339140000000000,20.773030000000000,18.811448640000000
Abra,2013-02-01,29.105410000000100,20.328760000000000,0.38487920000000000,0.012277174000000000,0.01836678132,0.23491073,23.590300000000000,22.83770000000000,16.3449576
Abra,2013-03-01,30.32000000000010,20.801940000000000,0.38444028,0.01293775,0.027267146280000000,0.21940766,24.891200000000000,23.67443000000000,12.4454052
Abra,2013-04-01,31.58784000000000,21.431250000000000,0.40140078,0.014270481000000000,0.1784161692,0.24153115,26.42416000000000,24.929220000000000,10.50054804
Abra,2013-05-01,30.585640000000000,20.95022000000010,0.42618394,0.015286459,0.30707442,0.35820937,24.09835000000000,24.78594000000000,8.75116728
Abra,2013-06-01,28.233680000000000,21.11850000000000,0.5006948000000000,0.016088745,0.311947056,0.38120955,24.149380000000000,24.936820000000100,9.20136384
Abra,2013-07-01,27.444260000000000,21.816620000000100,0.45135800000000000,0.0156833,0.4073189256,0.4084085,23.025300000000000,23.89462000000000,8.666768520000000
Abra,2013-08-01,26.985420000000000,18.174800000000000,0.43797820000000000,0.016099598,0.813463092,0.43046916,22.616700000000000,23.639430000000000,17.465661
Abra,2013-09-01,26.25654000000000,19.816040000000000,0.43223447,0.015869275,0.5845194,0.42558023,22.66470000000000,23.403280000000000,13.18824648
Abra,2013-10-01,25.54012,19.100580000000000,0.46918574,0.014250345,0.1956494016,0.39682776,22.219900000000000,22.314080000000000,17.350444800000000
Abra,2013-11-01,25.81206000000000,19.99884000000000,0.45719214,0.014695723,0.3606993576,0.4035875,22.153440000000000,22.595880000000000,19.570689720000000
Abra,2013-12-01,25.598180000000000,18.533460000000000,0.43389556000000000,0.013499992,0.0702339624,0.36603516,21.074850000000000,21.126820000000100,17.401842000000000
Abra,2014-01-01,25.066620000000100,16.77791000000000,0.40421611,0.010450706,0.012417120000000000,0.31171220000000000,19.23657000000000,18.779700000000000,20.139624
Abra,2014-02-01,27.389080000000000,18.053260000000000,0.39042185,0.011425138,0.014357594520000000,0.25374424,21.326440000000000,20.689020000000000,12.91785156
Abra,2014-03-01,30.045300000000000,20.047020000000000,0.38344832,0.012029305,0.021702826800000000,0.21552433,23.91546000000010,22.850400000000000,13.497732
Abra,2014-04-01,31.349180000000000,21.139200000000000,0.3881033,0.013649952,0.11723414400000000,0.24878302,25.95632000000010,24.830100000000000,9.58715748
Abra,2014-05-01,30.048760000000000,21.091940000000000,0.43856080000000000,0.01485575,0.169665606,0.31961358,25.602260000000100,25.833150000000000,8.66097648
Abra,2014-06-01,27.65220000000010,20.17386000000000,0.4127306,0.01626493,0.66857148,0.39430833,23.864000000000000,24.77062000000010,14.024242800000000
Abra,2014-07-01,28.12208000000000,21.05752000000000,0.3873978,0.01645465,0.6149696040000000,0.42315674,23.317300000000000,24.090540000000000,12.340135440000000
Abra,2014-08-01,27.25592000000010,21.06782000000000,0.48458300000000000,0.01592168,0.4532545440000000,0.4259807,22.80540000000000,23.64247999999990,15.303896640000000
Abra,2014-09-01,26.838340000000000,21.219460000000000,0.45627427,0.016059468,0.925959312,0.4270208,23.161770000000000,23.992700000000000,15.37857468
Abra,2014-10-01,27.104620000000100,20.468920000000100,0.47154470000000000,0.015001156000000000,0.09096330600000000,0.3782231,23.21783000000010,23.289670000000100,17.09119188
Abra,2014-11-01,27.19458000000000,20.01156000000000,0.44103394,0.013957474,0.067457268,0.3346072,22.817440000000000,22.74580000000000,17.235216
Abra,2014-12-01,26.338280000000100,19.096340000000000,0.41408027000000000,0.013012611,0.0512776656,0.2945072,22.036040000000000,21.54287000000010,23.652366120000000
Abra,2015-01-01,26.191720000000000,17.905340000000000,0.4060645,0.010826121,0.021718378800000000,0.24814242,20.453520000000000,19.69738000000000,20.197782000000000
Abra,2015-02-01,28.16536000000000,18.10626000000000,0.3721232,0.011423084000000000,0.015194997360000000,0.22383925,21.913350000000000,20.683280000000000,15.734646
Abra,2015-03-01,31.024940000000000,20.12038000000000,0.38234705,0.011846706,0.040467528,0.22497864,24.06777000000010,22.946500000000000,11.079130680000000
Abra,2015-04-01,32.17248000000000,21.382720000000100,0.38971930000000000,0.013429769,0.068345514,0.24329191,26.191430000000000,24.452140000000000,11.271589920000000
