,adm_level,date,perc,ls_temp_day,ls_temp_night,evi,humid,new_perc,soil_moist,soil_temp,ns_temp,wind_speed,longitude,latitude
0,Abra,2012-06-01,0.43086684,27.721079999999972,19.647160000000042,0.4180815,0.016763346000000002,0.619450668,0.42550775,23.16796000000005,23.944570000000112,17.917740000000002,120.68811788855842,17.571436949427834
1,Abra,2012-07-01,0.37315392,27.25216000000006,19.502080000000035,0.36626284000000003,0.01636227,0.668149632,0.4288224,22.697080000000028,23.574880000000007,12.52362456,120.68811788855842,17.571436949427834
2,Abra,2012-08-01,0.6206645000000001,25.19064000000003,16.570920000000058,0.3183575,0.016541112,0.8836825680000001,0.43218037,22.515700000000038,23.002650000000017,22.783479840000005,120.68811788855842,17.571436949427834
3,Abra,2012-09-01,0.10662038,26.450410000000034,20.787840000000017,0.4785534000000002,0.01596683,0.3575181096,0.4197185000000001,23.111440000000016,23.661220000000014,10.834874639999999,120.68811788855842,17.571436949427834
4,Abra,2012-10-01,0.053113062,26.58856000000003,20.184320000000014,0.47700083000000004,0.014126711,0.1417914828,0.39068675,22.217370000000017,22.389250000000004,17.7288372,120.68811788855842,17.571436949427834
5,Abra,2012-11-01,0.01708798,27.60426000000001,20.785740000000033,0.44775903,0.014546088,0.11227787280000001,0.36491406,22.865350000000035,23.429470000000038,11.285579520000002,120.68811788855842,17.571436949427834
6,Abra,2012-12-01,0.02484563,27.177700000000016,20.020200000000045,0.40644753,0.0134072825,0.11915105760000001,0.33906722,22.169579999999996,22.295620000000042,16.8289128,120.68811788855842,17.571436949427834
7,Abra,2013-01-01,0.01182656,26.42009999999999,17.99502000000001,0.3921379,0.011683025,0.030007476,0.2889595999999999,21.339140000000043,20.773030000000006,18.811448640000002,120.68811788855842,17.571436949427834
8,Abra,2013-02-01,0.0076701916,29.105410000000063,20.328760000000045,0.38487920000000003,0.012277173999999998,0.01836678132,0.23491073,23.590300000000013,22.83770000000004,16.3449576,120.68811788855842,17.571436949427834
9,Abra,2013-03-01,0.006973816,30.32000000000005,20.801940000000002,0.38444028,0.01293775,0.027267146279999994,0.21940766,24.891200000000026,23.67443000000003,12.4454052,120.68811788855842,17.571436949427834
10,Abra,2013-04-01,0.055693135,31.58784000000003,21.431250000000034,0.40140078,0.014270481000000003,0.1784161692,0.24153115,26.42416000000003,24.929220000000043,10.50054804,120.68811788855842,17.571436949427834
11,Abra,2013-05-01,0.11456153,30.585640000000012,20.95022000000006,0.42618394,0.015286459,0.30707442,0.35820937,24.09835000000004,24.78594000000004,8.75116728,120.68811788855842,17.571436949427834
12,Abra,2013-06-01,0.1854342,28.233679999999993,21.11850000000004,0.5006948000000001,0.016088745,0.311947056,0.38120955,24.149380000000008,24.936820000000125,9.20136384,120.68811788855842,17.571436949427834
13,Abra,2013-07-01,0.16503504,27.444260000000043,21.816620000000057,0.45135800000000004,0.0156833,0.4073189256,0.4084085,23.025300000000016,23.89462000000003,8.666768520000002,120.68811788855842,17.571436949427834
14,Abra,2013-08-01,0.5230662,26.985420000000033,18.174800000000005,0.43797820000000004,0.016099598,0.813463092,0.43046916,22.616700000000037,23.639430000000004,17.465661,120.68811788855842,17.571436949427834
15,Abra,2013-09-01,0.29709220000000003,26.25654000000003,19.816040000000044,0.43223447,0.015869275,0.5845194,0.42558023,22.66470000000004,23.403279999999995,13.18824648,120.68811788855842,17.571436949427834
16,Abra,2013-10-01,0.06294749,25.54012,19.100580000000036,0.46918574,0.014250345,0.1956494016,0.39682776,22.219899999999996,22.314080000000047,17.350444800000002,120.68811788855842,17.571436949427834
17,Abra,2013-11-01,0.060069483,25.81206000000003,19.99884000000003,0.45719214,0.014695723,0.3606993576,0.4035875,22.153440000000046,22.595880000000022,19.570689720000004,120.68811788855842,17.571436949427834
18,Abra,2013-12-01,0.056675248,25.598180000000013,18.533460000000048,0.43389556000000007,0.013499992,0.0702339624,0.36603516,21.074850000000026,21.126820000000123,17.401841999999995,120.68811788855842,17.571436949427834
19,Abra,2014-01-01,0.0024040889000000003,25.066620000000057,16.77791000000002,0.40421611,0.010450706,0.012417120000000004,0.31171220000000005,19.23657000000003,18.779700000000048,20.139624,120.68811788855842,17.571436949427834
20,Abra,2014-02-01,0.004199299,27.389080000000035,18.053260000000023,0.39042185,0.011425138,0.014357594520000001,0.25374424,21.326440000000048,20.689020000000028,12.91785156,120.68811788855842,17.571436949427834
21,Abra,2014-03-01,0.008012960999999999,30.045299999999997,20.047020000000032,0.38344832,0.012029305,0.021702826800000005,0.21552433,23.91546000000011,22.850400000000036,13.497732,120.68811788855842,17.571436949427834
22,Abra,2014-04-01,0.00805753,31.349180000000047,21.139200000000017,0.3881033,0.013649952,0.11723414400000005,0.24878302,25.95632000000012,24.830100000000016,9.58715748,120.68811788855842,17.571436949427834
23,Abra,2014-05-01,0.050217237000000005,30.048760000000016,21.091940000000022,0.43856080000000003,0.01485575,0.169665606,0.31961358,25.602260000000115,25.833150000000046,8.66097648,120.68811788855842,17.571436949427834
24,Abra,2014-06-01,0.32854682,27.65220000000005,20.17385999999999,0.4127306,0.01626493,0.66857148,0.39430833,23.864000000000033,24.77062000000012,14.024242800000003,120.68811788855842,17.571436949427834
25,Abra,2014-07-01,0.25791794,28.12208000000004,21.05752000000001,0.3873978,0.01645465,0.6149696039999998,0.42315674,23.317300000000046,24.090540000000033,12.340135440000001,120.68811788855842,17.571436949427834
