adm_level,date,JAXA_GPM_L3_GSMaP_v6_operational_hourlyPrecipRateGC,MODIS_006_MOD11A1_LST_Day_1km,MODIS_006_MOD11A1_LST_Night_1km,MODIS_006_MYD13A1_EVI,NASA_FLDAS_NOAH01_C_GL_M_V001_Qair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Rainf_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilMoi00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_SoilTemp00_10cm_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Tair_f_tavg,NASA_FLDAS_NOAH01_C_GL_M_V001_Wind_f_tavg
Abra,2015-03-01,0.012383493,15208.747,14663.518999999998,3823.4705,0.011846706,1.124098e-05,0.22497864,297.21777000000003,296.0965,3.0775363
Abra,2015-04-01,0.018668333,15266.124,14726.636,3897.1929999999998,0.013429769,1.8984865e-05,0.24329191,299.34143,297.60213999999996,3.1309972000000004
Abra,2015-05-01,0.07814874,15246.958,14762.785,4170.9897,0.014467074,6.757393e-05,0.29611868,299.3029,298.61773999999997,2.9178545
Abra,2015-06-01,0.06959429,15114.963,14728.857,4309.9995,0.015653402,5.79113e-05,0.33188188,299.0401,298.76974,2.4096794
Abra,2015-07-01,0.5229281,15056.428,14707.627,2994.1973,0.0160796,0.00023253792,0.40730935,296.5557,296.88043,5.741864
Abra,2015-08-01,0.4265576,15040.06,14725.928999999998,4268.8804,0.016101392,0.00022321443,0.42436814,296.5582,297.22292999999996,4.685432
Abra,2015-09-01,0.08027778599999999,15027.685,14702.233999999999,4745.611,0.015981698,6.308147e-05,0.41239583,296.7909,297.2203,2.6518482999999997
Abra,2015-10-01,0.22138473,15019.281,14696.726999999999,4821.315,0.015641183,9.0867106e-05,0.40115500000000004,296.21912000000003,296.71454,5.360737
Abra,2015-11-01,0.005664542,15033.258,14709.921999999999,4666.8823,0.0143390745,1.1895392e-05,0.36241743,296.13596,296.38034,4.576075599999999
Abra,2015-12-01,0.07801234,15010.783000000001,14666.159,4277.6885,0.01397749,4.9276845000000005e-05,0.32716718,295.65637000000004,295.44162,5.0382385
Abra,2016-01-01,0.008072211999999999,14971.791000000001,14632.382,4210.4717,0.01270048,4.8207958e-06,0.2891897,294.94498,294.66537,4.1206574
Abra,2016-02-01,0.014921917,15023.11,14614.47,3875.377,0.0120007545,2.776624e-06,0.23256,295.45367000000005,294.36768,4.5854483
Abra,2016-03-01,0.0031764590000000004,15177.158000000001,14681.97,3830.2737,0.012912805,6.596789999999999e-06,0.22615819,297.43222000000003,296.02698,3.519249
Abra,2016-04-01,0.003910271,15272.825,14768.6,4028.7253,0.013750136999999999,1.4628431e-05,0.23876071,299.97927999999996,298.72327,2.7244902
Abra,2016-05-01,0.127392,15191.658000000001,14768.196000000002,4217.5327,0.015412307,9.726603999999999e-05,0.29294929999999997,299.22177,298.87445,2.3692546
Abra,2016-06-01,0.14700668,15039.094,14743.545,4640.2485,0.01642214,9.077103999999999e-05,0.39271259999999997,297.1798,297.92737,2.855769
Abra,2016-07-01,0.13299526,15044.858999999999,14706.626,4679.3477,0.016103232,9.311238000000001e-05,0.400878,297.04834,297.81723,2.6479137
Abra,2016-08-01,0.5000587000000001,14986.916000000001,14639.62,3991.055,0.016808147,0.00020761664,0.4275647,296.24242999999996,296.8471,4.976865
Abra,2016-09-01,0.20730944,14991.485,14665.947,4313.057,0.016317507,0.00012710369,0.42579234,296.15396,296.91684,3.8032482000000005
Abra,2016-10-01,0.24138467,15030.2295,14702.705,4433.384,0.01603277,0.00013412735,0.42191964,296.0384,296.95166,4.351879599999999
Abra,2016-11-01,0.110953905,15020.527,14679.476,4574.9624,0.014690083,7.746835e-05,0.386336,295.6946,296.12585,5.4749594
Abra,2016-12-01,0.05127952,14975.081,14683.263,4582.681,0.014483846000000002,2.3326020000000005e-05,0.3589074,295.41803,295.36584,6.4969144
Abra,2017-01-01,0.019617867,14923.495,14588.116000000002,4429.418,0.012711957,6.9888433e-06,0.31967822,294.36475,293.94052,6.028430999999999
Abra,2017-02-01,0.025800137,14985.265,14508.058,4389.8945,0.0123349875,6.996731e-06,0.28361464,294.2081,293.2642,5.6169605
Abra,2017-03-01,0.0067828763,15166.579,14673.882,4288.7983,0.012933843,5.848531000000001e-06,0.24594276,296.92742999999996,295.52112,3.7403245000000003
Abra,2017-04-01,0.029112782,15231.353000000001,14735.743,4360.08,0.013721281,2.675637e-05,0.25078365,298.64246,297.1831,3.0925977000000002
Abra,2017-05-01,0.23781054,15218.327,14746.028,4141.313,0.015454665,0.00014000936000000002,0.35408249999999997,297.79315,297.97888,2.3566632000000003
